bill_id,session,full_number,synopsis,reason
2018-A3662,2018,A3662,Makes Supplemental Nutrition Assistance Program Employment and Training Provider Demonstration Project permanent and renames program.,no include pattern matched
2018-A6116,2018,A6116,Renames joint meetings as regional service agencies; grandfathers existing joint meetings.,no include pattern matched
2018-S402,2018,S402,"Renames ""board of chosen freeholders"" to ""board of county commissioners"" and ""freeholder"" and ""chosen freeholder"" to ""county commissioner""; requires counties to update materials to reflect this title change.*",no include pattern matched
2018-S763,2018,S763,Revises and renames NJSTARS; repeals NJSTARS II; establishes NJ HonorScholars Program.,no include pattern matched
2018-S1109,2018,S1109,"Renames ""Physician Orders for Life-Sustaining Treatment Act"" as ""Practitioner Orders for Life-Sustaining Treatment Act""; permits physician assistants to sign and modify POLST forms; requires continuing education concerning end-of-life care.*",no include pattern matched
2018-S1627,2018,S1627,"Renames ""county vocational school districts"" as ""county career academies.""",no include pattern matched
2018-S1739,2018,S1739,Renames county corrections officers as county correctional police officers.,no include pattern matched
2018-S1948,2018,S1948,Makes Supplemental Nutrition Assistance Program Employment and Training Provider Demonstration Project permanent and renames program.,no include pattern matched
2018-S3763,2018,S3763,Renames joint meetings as regional service agencies; grandfathers existing joint meetings.,no include pattern matched
2020-AR145,2020,AR145,Commemorates New Jersey -Taiwan sister state relationship and recognizes importance of strong and enduring partnership between New Jersey and Taiwan.**,no include pattern matched
2020-SR108,2020,SR108,Commemorates New Jersey -Taiwan sister state relationship and recognizes importance of strong and enduring partnership between New Jersey and Taiwan.,no include pattern matched
2020-A271,2020,A271,"Designates drug court program as the ""special probation recovery court program"" in statutes.",no include pattern matched
2020-A709,2020,A709,Establishes Division of Advocacy for Developmentally Disabled within Office of Public Defender; designates public defender for developmentally disabled clients in criminal cases.,no include pattern matched
2020-A892,2020,A892,Expands University Hospital board of directors membership from 11 to 13 members; designates University Hospital as rural hospital.,no include pattern matched
2020-A3329,2020,A3329,Designates New Jersey Commuter Pass Credit Act; provides for temporary gross income tax credit for certain commuting passes.,no include pattern matched
2020-A3804,2020,A3804,Designates 9-1-1 operators or dispatchers as 9-1-1 first responder dispatchers.,no include pattern matched
2020-A4044,2020,A4044,Designates Howell House in Cape May as Harriet Tubman Museum in New Jersey.,no include pattern matched
2020-A5127,2020,A5127,Designates each community college in State as provider of allowable services under SNAP Employment and Training Program.,no include pattern matched
2020-A5259,2020,A5259,Transfers Division of Elections from Department of State to Department of Law and Public Safety; designates Attorney General as chief election official and requires two bipartisan co-directors.,excluded: administrative_officer (administrative officer/body designation)
2020-S1413,2020,S1413,"Clarifies pretrial detention and pretrial release provisions in P.L.2014, c.31; designates P.L.2014, c.31 and this bill as the ""Restoring Judicial Discretion in Bail Setting Act.""",no include pattern matched
2020-S1590,2020,S1590,Designates 9-1-1 operators or dispatchers as 9-1-1 first responder dispatchers.,no include pattern matched
2020-S3353,2020,S3353,Transfers Division of Elections from Department of State to Department of Law and Public Safety; designates Attorney General as chief election official and requires two bipartisan co-directors.,excluded: administrative_officer (administrative officer/body designation)
2020-A1281,2020,A1281,Revises and renames NJSTARS; repeals NJSTARS II; establishes NJ HonorScholars Program.,no include pattern matched
2020-A3384,2020,A3384,"Makes various revisions to ""Uniform Fraudulent Transfer Act""; renames act to ""Uniform Voidable Transactions Act.""",no include pattern matched
2020-A3594,2020,A3594,"Renames ""board of chosen freeholders"" to ""board of county commissioners"" and ""freeholder"" and ""chosen freeholder"" to ""county commissioner""; requires counties to update materials to reflect this title change.",no include pattern matched
2020-A4930,2020,A4930,"Renames ""security aid"" as ""health and safety aid"" to reflect that secure schools provide for students' mental health; provides that State aid for nonpublic school security services may also be used for mental health services.",no include pattern matched
2020-A5249,2020,A5249,"Renames Office of Ombudsman for Individuals with Intellectual or Developmental Disabilities, creates position of deputy ombudsman, and expands duties of office to apply to all persons with disabilities and their families.",excluded: renames_authority (administrative body rename)
2020-A5822,2020,A5822,"Renames Dismal Swamp and Dismal Swamp Preservation Commission as ""Peter J. Barnes III Wildlife Preserve"" and ""Peter J. Barnes III Wildlife Preservation Commission.""",no include pattern matched
2020-A6159,2020,A6159,Revises and renames Office of Food Insecurity Advocate.,excluded: renames_authority (administrative body rename)
2020-S326,2020,S326,"Renames ""county vocational school districts"" as ""county career academies.""",no include pattern matched
2020-S855,2020,S855,"Renames ""board of chosen freeholders"" to ""board of county commissioners"" and ""freeholder"" and ""chosen freeholder"" to ""county commissioner""; requires counties to update materials to reflect this title change.",no include pattern matched
2020-S3013,2020,S3013,"Renames ""security aid"" as ""health and safety aid"" to reflect that secure schools provide for students' mental health; provides that State aid for nonpublic school security services may also be used for mental health services.",no include pattern matched
2020-S3171,2020,S3171,"Makes various revisions to ""Uniform Fraudulent Transfer Act""; renames act to ""Uniform Voidable Transactions Act.""",no include pattern matched
2020-S3384,2020,S3384,"Renames Office of Ombudsman for Individuals with Intellectual or Developmental Disabilities, creates position of deputy ombudsman, and expands duties of office to apply to all persons with disabilities and their families.",excluded: renames_authority (administrative body rename)
2020-S3919,2020,S3919,"Renames Dismal Swamp and Dismal Swamp Preservation Commission as ""Peter J. Barnes III Wildlife Preserve"" and ""Peter J. Barnes III Wildlife Preservation Commission.""",no include pattern matched
2020-S4236,2020,S4236,Revises and renames Office of Food Insecurity Advocate.,excluded: renames_authority (administrative body rename)
2022-AR131,2022,AR131,Commemorates New Jersey-Taiwan sister state relationship and recognizes importance of strong and enduring partnership between New Jersey and Taiwan.,no include pattern matched
2022-AR139,2022,AR139,Commemorates appointment of Justice Ketanji Brown Jackson as Associate Justice of United States Supreme Court.,no include pattern matched
2022-AR156,2022,AR156,Commemorates christening of USS John Basilone.,no include pattern matched
2022-SR76,2022,SR76,Commemorates New Jersey-Taiwan sister state relationship and recognizes importance of strong and enduring partnership between New Jersey and Taiwan.,no include pattern matched
2022-A937,2022,A937,Establishes Division of Advocacy for Developmentally Disabled within Office of Public Defender; designates public defender for developmentally disabled clients in criminal cases.,no include pattern matched
2022-A2257,2022,A2257,Designates each community college in State as provider of allowable services under SNAP Employment and Training Program.,no include pattern matched
2022-A3388,2022,A3388,Transfers Division of Elections from Department of State to Department of Law and Public Safety; designates Attorney General as chief election official and requires two bipartisan co-directors.,excluded: administrative_officer (administrative officer/body designation)
2022-A3673,2022,A3673,"Designates drug court program as the ""special probation recovery court program"" in statutes.",no include pattern matched
2022-A3818,2022,A3818,Designates specific dates for special fire district elections.,no include pattern matched
2022-A5299,2022,A5299,Designates State Office of Emergency Management as State Agency for Surplus Property.,excluded: administrative_officer (administrative officer/body designation)
2022-A5326,2022,A5326,"Establishes Community Crisis Response Advisory Council and community crisis response teams pilot program; designates ""Seabrooks-Washington Community-Led Crisis Response Act;"" appropriates $12 million.*",no include pattern matched
2022-AJR201,2022,AJR201,Designates annual Lunar New Year in NJ.,no include pattern matched
2022-S1680,2022,S1680,Designates each community college in State as provider of allowable services under SNAP employment and training program.,no include pattern matched
2022-S2274,2022,S2274,Transfers Division of Elections from Department of State to Department of Law and Public Safety; designates Attorney General as chief election official and requires two bipartisan co-directors.,excluded: administrative_officer (administrative officer/body designation)
2022-S3753,2022,S3753,Designates State Office of Emergency Management as State Agency for Surplus Property.,excluded: administrative_officer (administrative officer/body designation)
2022-S4250,2022,S4250,"Establishes Community Crisis Response Advisory Council and community crisis response teams pilot program; designates ""Seabrooks-Washington Community-Led Crisis Response Act;"" appropriates $12 million.*",no include pattern matched
2022-SJR54,2022,SJR54,Designates Eid Ul-Fitr and Eid Ul-Adha as days of observance in New Jersey.,no include pattern matched
2022-SJR65,2022,SJR65,Designates Eid Ul-Fitr and Eid Ul-Adha as days of observance in New Jersey.,no include pattern matched
2022-SJR111,2022,SJR111,Designates annual Lunar New Year in NJ.,no include pattern matched
2022-A4613,2022,A4613,"Renames, extends eligibility, and makes various other changes to Primary Care Practitioner Loan Redemption Program.*",no include pattern matched
2022-A4707,2022,A4707,"Renames pinelands area as ""John McPhee pinelands area.""",no include pattern matched
2022-A5611,2022,A5611,Renames Division of Purchase and Property; revises certain aspects of State procurement process; repeals MacBride principles certification requirement.,excluded: renames_authority (administrative body rename)
2022-A5880,2022,A5880,Renames Juvenile Justice Commission as Youth Justice Commission.,excluded: renames_authority (administrative body rename)
2022-S320,2022,S320,Revises and renames Office of Food Insecurity Advocate.,excluded: renames_authority (administrative body rename)
2022-S3065,2022,S3065,"Renames pinelands area as ""John McPhee pinelands area.""",no include pattern matched
2022-S3212,2022,S3212,"Renames, extends eligibility, and makes various other changes to Primary Care Practitioner Loan Redemption Program.*",no include pattern matched
2022-S3745,2022,S3745,Renames Division of Purchase and Property; revises certain aspects of State procurement process; repeals MacBride principles certification requirement.,excluded: renames_authority (administrative body rename)
2022-S4258,2022,S4258,Renames Juvenile Justice Commission as Youth Justice Commission.,excluded: renames_authority (administrative body rename)
2024-A223,2024,A223,Transfers Division of Elections from Department of State to Department of Law and Public Safety; designates Attorney General as chief election official and requires two bipartisan co-directors.,excluded: administrative_officer (administrative officer/body designation)
2024-A601,2024,A601,Establishes Division of Advocacy for Developmentally Disabled within Office of Public Defender; designates public defender for developmentally disabled clients in criminal cases.,no include pattern matched
2024-A2862,2024,A2862,"Designates drug court program as the ""special probation recovery court program"" in statutes.",no include pattern matched
2024-A4987,2024,A4987,"Establishes protections for immigrants interacting with government agencies; designates ""New Jersey Immigrant Trust Act.""",no include pattern matched
2024-A5196,2024,A5196,"Designates sweepstakes casinos as internet gaming; requires licensure, oversight, and taxation thereof within internet gaming framework.",excluded: regulatory_category (regulatory/administrative category definition)
2024-A6240,2024,A6240,Designates open water lifeguards as first responders and emergency response providers.,excluded: legal_definition (legal/workforce classification)
2024-S1878,2024,S1878,Transfers Division of Elections from Department of State to Department of Law and Public Safety; designates Attorney General as chief election official and requires two bipartisan co-directors.,excluded: administrative_officer (administrative officer/body designation)
2024-S3672,2024,S3672,"Establishes protections for immigrants interacting with government agencies; designates ""New Jersey Immigrant Trust Act.""",no include pattern matched
2024-S4109,2024,S4109,"Designates sweepstakes casinos as internet gaming; requires licensure, oversight, and taxation thereof within internet gaming framework.",excluded: regulatory_category (regulatory/administrative category definition)
2024-S4674,2024,S4674,Establishes gold and silver transactional currency system; designates Commissioner of Banking and Insurance as administrator; provides legal tender status; authorizes fees.,excluded: administrative_officer (administrative officer/body designation)
2024-A2801,2024,A2801,"Renames, extends eligibility, and makes various other changes to Primary Care Practitioner Loan Redemption Program.",no include pattern matched
2024-A3678,2024,A3678,Renames Juvenile Justice Commission as Youth Justice Commission.,excluded: renames_authority (administrative body rename)
2024-S780,2024,S780,"Renames, extends eligibility, and makes various other changes to Primary Care Practitioner Loan Redemption Program.*",no include pattern matched
2024-S1316,2024,S1316,Renames Division of Purchase and Property; revises certain aspects of State procurement process; repeals MacBride principles certification requirement.,excluded: renames_authority (administrative body rename)
2024-S2423,2024,S2423,Renames Juvenile Justice Commission as Youth Justice Commission.,excluded: renames_authority (administrative body rename)
2024-S4769,2024,S4769,"Renames Office of Ombudsman for Individuals with Intellectual or Developmental Disabilities, creates position of deputy ombudsman, and expands duties of office.",excluded: renames_authority (administrative body rename)
