bill_id,session,full_number,synopsis,reason
2004-A2423,2004,A2423,Renames the State Parole Board as the State Parole Commission.,excluded: renames_authority (administrative body rename)
2004-A3977,2004,A3977,Revises membership of Executive Commission on Ethical Standards; renames commission; makes various other changes concerning ethics. *,excluded: renames_authority (administrative body rename)
2004-S1301,2004,S1301,Renames the State Parole Board as the State Parole Commission.,excluded: renames_authority (administrative body rename)
2004-S1931,2004,S1931,Renames Work First New Jersey program as Family Development Program and makes other revisions to program.,no include pattern matched
2004-S2335,2004,S2335,Revises membership of Executive Commission on Ethical Standards; renames commission; makes various other changes concerning ethics. *,excluded: renames_authority (administrative body rename)
2006-A732,2006,A732,"Designates Atlantic City and Pleasantville, Atlantic County, as areas eligible for redemption of pinelands development credits.",no include pattern matched
2006-A1223,2006,A1223,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary. *",no include pattern matched
2006-A1579,2006,A1579,Designates prison telephone revenues for VCCB claims.,no include pattern matched
2006-A2929,2006,A2929,Transfers Division of Elections from Department of Law and Public Safety to Department of State; designates Secretary of State as chief election official.,excluded: administrative_officer (administrative officer/body designation)
2006-A3158,2006,A3158,"Allocates Amistad Commission in the DOE, designates Commissioner of Education as chair, authorizes commission to hire staff, decreases public members from eight to four, and provides commission with additional powers.",excluded: administrative_officer (administrative officer/body designation)
2006-AJR59,2006,AJR59,"Designates annually the Atlantic City Marathon as New Jersey Festival of Running, an official State event.",no include pattern matched
2006-AJR96,2006,AJR96,Designates Sunset Lake Hydrofest in Wildwood Crest as New Jersey Governor's Cup Hydrofest Series.,no include pattern matched
2006-S125,2006,S125,"Designates Atlantic City and Pleasantville, Atlantic County, as areas eligible for redemption of pinelands development credits.",no include pattern matched
2006-S387,2006,S387,"Directs State acquisition of Troy Meadows Natural Area, Morris County, for recreation and conservation purposes and designates it as natural area and wildlife sanctuary. *",no include pattern matched
2006-S2449,2006,S2449,Transfers Division of Elections from Department of Law and Public Safety to Department of State; designates Secretary of State as chief election official.,excluded: administrative_officer (administrative officer/body designation)
2006-A518,2006,A518,Revises membership of Executive Commission on Ethical Standards; renames commission; requires ethics training for State employees; increases penalties for ethics violations.,excluded: renames_authority (administrative body rename)
2006-A2935,2006,A2935,Renames the Primary Care Physician and Dentist Loan Redemption Program and makes various other changes to the program.,no include pattern matched
2006-A3251,2006,A3251,"Renames ""Open Public Meetings Act"" in honor of Senator Byron M. Baer. *",no include pattern matched
